"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"1180 ","김희경유럽정신문화장학재단","국내대학학부생 및 석박사과정생 유럽대학 국제교류 교환학생연수","기타","장학금","기타","4년제(5~6년제포함)/일반대학원","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","인문계열","해당없음","해당없음","○ (학부생/석사과정생) 1년 2400만원/항공비 200만원○ (박사과정생) 1년 2640만원/항공비 200만원","○ 학부생 : 유럽인문학 및 이와 연관된 학문 전공자○ 석·박사 과정생 : 문학/어학/사학/철학/인류학/고고학/고전문헌학/종교학/미학/문화학 등 석·박사 과정생○ 유럽대학 국제교류 교환학생으로서 지도교수의 추천을 받은 자※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","해당없음","○ 서류심사 > 면접심사 > 이사회추인","○ 각 분야 약간 명 ※ 기관확인 필요","○ 타 장학재단에서 장학금 수혜를 받고 있는 경우○ 현지에서 시간제 부업이나 장·단기 취업을 하는 경우○ 외국 국적자 또는 복수국적 소지자○ 2025년 1학기 휴학생 또는 유럽 현지 체류자○ 영국 이외 대학에서 해당국의 언어가 아닌 영어로 진행되는 강의를 수강하는 경우※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","○ 지도교수 추천","○ 장학생 지원서○ 가족관계 증명서○ 출입국 사실증명서(기록대조 시작일  본인 생년월일)○ 개인정보 동의서○ 해당 국가 언어로 작성된 연수계획서 및 한글 번역본○ 해당 국가 언어 어학인증서○ 교환학생 기간이 명시된 지도교수 추천서○ 학부생 : 학부 성적증명서/대학원생 : 학부와 대학원 성적증명서○ 교환학생 선발확인서○ 부·모 개인별 소득금액 증명원 및 지방세 세목별 과세 증명서※ 자세한 사항은 홈페이지 참고","http://www.khk.or.kr","2025-03-31","2025-04-11"
"1181 ","김희경유럽정신문화장학재단","국내대학 석박사과정생 유럽대학 연수","기타","장학금","기타","일반대학원","박사과정/석사2학기이상/석사신입생(1학기)","인문계열","해당없음","해당없음","○ (석사과정생) 1년 2400만원/항공비 200만원○ (박사과정생) 1년 2640만원/항공비 200만원","○ 문학/어학/사학/철학/인류학/고고학/고전문헌학/종교학/미학/문화학/연극학/영화학/음악학/미술사학 전공 등 석·박사 과정생○ 법학/정치학/사회학/심리학 전공 중 철학 및 사상 관련 석·박사 과정생○ 유럽대학 연수자로서 지도교수의 추천을 받은 자※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","해당없음","○ 서류심사 > 면접심사 > 이사회결의","○ 각 분야 약간 명 ※ 기관확인 필요","○ 타 장학재단에서 장학금 수혜를 받고 있는 경우○ 현지에서 시간제 부업이나 장단기취업을 하는 경우○ 외국 국적자 또는 복수국적 소지자※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","○ 지도교수 추천","○ 장학생 지원서○ 가족관계 증명서○ 출입국 사실증명서(기록대조 시작일  본인 생년월일)○ 개인정보 동의서○ 해당국가 언어로 작성된 연수계획서 및 한글 번역본○ 해당 국가 언어 어학인증서○ 연수 기간이 명시된 지도교수 추천서○ 학부 및 대학원 성적증명서○ 부모 개인별 소득금액 증명원 및 지방세 세목별 과세 증명서※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","http://www.khk.or.kr","2025-03-31","2025-04-11"
"1182 ","김희경유럽정신문화장학재단","유럽대학박사학위논문작성","기타","장학금","기타","일반대학원/해외대학","박사과정","인문계열","해당없음","해당없음","○ 미혼 : 1년 3000만원○ 기혼 : 1년 4200만원○ 도서비 : 연 200만원○ 논문출판비 일부 지원","○ 문학/어학/사학/철학/인류학/고고학 전공 등 석·박사 과정생○ 법학/정치학/사회학/심리학 전공 중 철학 및 사상 관련 석·박사 과정생○ 3년 내 박사학위논문을 제출할 수 있는 자○ 국내대학 최종과정 지도교수 및 유럽대학 지도교수의 추천을 받은 자※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","해당없음","○ 서류심사 및 논문계획서/논문진행서 심사○ 논문진행발표 및 면접심사(2/3회 연장신청자 제외)○ 이사회결의※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","○ 각 분야 약간 명 ※ 기관확인 필요","○ 장학금 중복수혜○ 현지에서 시간제 부업이나 장·단기 취업을 하는 경우○ 외국 국적자 또는 복수국적 소지자○ 영국 이외 대학에서 해당국의 언어가 아닌 영어로 진행되는 강의를 수강하는 경우○ 기혼인 경우 현지에서 동거하지 않거나 동거 중이나 배우자가 수입이 있으면 미혼에 해당하는 장학금 지급※ 자세한 사항은 첨부파일 및 홈페이지 참고","○ 지도교수 추천","○ 장학생 지원서○ 가족관계증명서○ 출입국사실 증명서(기록대조 시작일  본인 생년월일)○ 개인정보 동의서○ 해당국가 언어로 작성된 논문계획서 및 한글 번역본○ 해당 국가 언어로 작성된 3년간 연차별 논문진행 계획서 및 한글 번역본○ 학사학위 및 석사학위 사본○ 학부·대학원 성적증명서 사본○ 해당 대학에서 수강한 강의명세서(성적증명서 제출 가능자는 성적증명서 1부 제출)○ 박사학위논문을 3년 내에 제출할 수 있다는 내용이 구체적으로 명시된 유럽대학 지도교수 추천서 및 번역본○국내대학 최종과정 지도교수 추천서※ 학부·대학원 수학기간(00년00월  00년00월)/현재 재학중인 유럽대학명과 수학기간/논문제목 명기※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","http://www.khk.or.kr","2025-03-31","2025-04-11"
"1183 ","김희경유럽정신문화장학재단","국내대학 및 유럽대학 석박사과정생 독회","기타","장학금","기타","일반대학원/해외대학","박사과정/석사2학기이상/석사신입생(1학기)","인문계열","해당없음","해당없음","○ 5인 : 연 500만원○ 6인 : 연 600만원","○ 구성인원 : 56인○ 전임교수 1인 이상 참여○ 다양한 전공자들로 구성된 독회 우대※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","해당없음","○ 서류심사 > 면접심사 > 이사회 추인","○ 각 분야 약간 명 ※ 기관확인 필요","○ 장학금 중복수혜 금지○ 현지에서 시간제 부업이나 장단기취업을 하는 경우○ 외국 국적자 또는 복수국적 소지자 제외○ 월 1회 이상 독회 개최가 필수이며 실적 미달 시 장학금 환수※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","○ 지도교수 추천","○ 장학생 지원서○ 가족관계 증명서○ 출입국 사실증명서(기록대조 시작일  본인 생년월일)○ 개인정보 동의서○ 독회내용·독회 일정·독회 결과의 학문 기여도 및 활용도를 명시한 계획서○ 지도교수 추천서○ 독회 참여자 명단 : 소속 대학 및 학과·전공 분야 명기할 것※ 자세한 사항은 첨부파일 및 기관 홈페이지 참고","http://www.khk.or.kr","2025-03-31","2025-04-11"
"1184 ","김희경유럽정신문화장학재단","국내학부장학생","기타","장학금","기타","해당없음","해당없음","해당없음","○ 전체 학기 총 평점 B학점 이상상","해당없음","○ 1년: 2400만원 ○ 항공비: 200만원","○ 유럽인문학 주 전공자(어학/ 문학/ 철학 등)○ 유럽어학연수/교환학생 프로그램 등 재단의 연계 장학사업 신청 시 선발 우대대※ 자세한 사항은 학교 장학부서 문의","해당없음","ㅣ○ 대학 추천/재단 자체 심사/최종 선발","※ 각 대학별로 상이하므로 학과 홈페이지 확인 요망","○ 25년도 2학기 기준 4학년 불가○ 타 장학금과 중복 수혜 불가○ 해당 장학금 기수혜자 지원 불허○ 직전학기나 해당학기 휴학생/교환학생/어학연수생 지원 불허○ 유럽 현지 체류자 제외외※ 자세한 사항은 학교 장학부서 문의","○ 대학 추천 필요","○ 연수계획서○ 지원서○ 지도교수 추천서○ 자기소개서○ 재학증명서○ 성적증명서○ 출입국 사실증명서○ 소득 및 과세 증명서○ 가족관계 증명서서○ 한국장학재단 학자금 지원구간 통지서○ 개인정보수집 이용동의서※ 자세한 사항은 재단 문의","http://www.khk.or.kr","2025-03-31","2025-04-11"
"1185 ","（재）산학협동재단","디딤돌장학금","공공기관","장학금","소득구분","해당없음","해당없음","해당없음","○ 2024학년도 1학기 성적우수자 우대○ 매 학기 성적이 B+(4.5점 기준 3.5점)가 유지되지 않는 경우 장학금 자격 박탈","○ 기초생활수급(차상위계층)/한부모 및 다문화가정/새터민가정/자립준비청년 등 사회적 배려 대상자 자녀 우선 선발","○ 학업보조비(월 80만원)※ 매월 지급/계속장학생 학기별 심사 후 지원","○ 대한민국 국적을 보유한 자로서 2024학년도 현재 국내 4년제 대학 신입생(1학년에 재학)○ 등록금의 경우 한국장학재단 장학금 수혜(감면) 받는 대학생 대상","해당없음","○ 1차 서류평가○ 2차 면접평가","○ 15명 내외 (각 대학당 1명만 추천)","○ 의학계열 등 5~6년 교육과정 학과 제외○ 학자금 중복지원방지시스템에 중복지원(타 민간재단 장학금(등록금 성격) 수혜 등)에 해당되는 학생○ 외국인 및 재외국민○ 편입생 및 재입학생","○ 대학(총장) 추천을 통하여 장학생 후보자 접수(대학당 1명 추천)","○ 추천대학의 공문○ 장학금 신청서○ 자기소개서○ 2024학년도 1학기 성적증명서○ 국가장학금 증명서○ 학자금 지원구간 통지서○ 주민등록등본○ 경제상황 증빙서류(해당사항 제출)○ 개인정보 수집·이용·제공 및 조회 동의서○ 장학생 서약서※ 지원자 개인 접수 불가※ 자세한 사항은 첨부파일 참고","http://www.sanhakfund.or.kr","2024-06-24","2024-07-26"
"1186 ","(재)범석학술장학재단","범석장학금","기타","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","의약계열","○ 직전학기 성적이 평균 3.0이상인 학생","○ 경제적 어려움으로 학비조달에 어려움을 겪는 학생※ 소득분위 고려하여 선정","○ 을지대학교 기준 300만원 등록금 범위 내 지급","○ 서울대학교·연세대학교·한양대학교·을지대학교 의과대학 학생○ 무단결석이 없고 성실한 수업태도를 인정받는 학생○ 예절바르고 교우관계가 원만하며 봉사정신이 투철한 학생","해당없음","○ 장학생 추천은 선정기준에 적합하다고 인정되는 학생을 단수추천하여 (학장·지도교수·학과장) 제출서류 확인 후 학교공문으로 제출","○ 학교마다 선발 인원이 상이하므로 학과 사무실에 문의","※ 기관확인 필요","○ 학장·지도교수·학과장 추천","○ 장학생 지원서 및 추천서 각 1부 (재단양식)○ 자기소개서 1부 (재단양식)○ 졸업 후 모교/사회발전 및 국가발전 기여 계획서 (재단양식)○ 재산세 납부 증명서(부모)각 1부(소득분위가 있는 학생은 제출 제외)○ 국민기초생활 수급자 증명서(해당자/소득분위 0분위 제출 제외)○ 개인정보제공 동의서※ 자세한 사항은 소속 학과 사무실로 문의","http://www.bumsuk.or.kr","2025-01-14","2025-02-14"
"1187 ","(재)염곡문화재단","장학금","기타","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학6학기/대학7학기/대학8학기이상","공학계열/사회계열/자연계열","○ 직전학기 15학점 이상 이수. 직전학기 평점평균 3.25/4.5 이상","○ 가정형편이 어려운 자","○ 등록금 전액. 장학생 추천요건 충족시 계속 추천","○ 2024학년도 1학기 재학예정○ (재)염곡문화재단에서 지정한 대학교에 재적중인 학생","해당없음","※ 기관확인 필요","※ 기관확인 필요","○ 국가장학금을 포함한 장학금과 중복수혜 불가능※ 자세한 사항은 각 학교 장학부서 문의","○ 대학교의 총장 또는 학장·대학장의 추천과 내부 서류심사를 거쳐 선정 (재단법인의 필요에 의해 직접 선발할 수 도 있음)","※ 학교 추천 방식으로 신청시 각 학교 장학부서에 문의 필수○ 추천서○ 가정환경조사서○ 장학금지급원서○ 주민등록등본○ 성적증명서○ 서약서○ 이력서○ 부/모 각각의 재산세과세(납세) 증명서/재잔세 미과세증명서○ 부/모 각각의 국세완납증명서/국세미과세증명서 중 택1","http://www.yeomgok.co.kr/ ","2024-02-05","2024-02-13"
"1188 ","예천군민장학회","성적우수(대학교4년제)","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 대학(4년제 이상)에 재학 중인 자로서 직전 2개 학기 평점 4.5점 만점 기준 각각 3.5 이상인 자","해당없음","○ 200만원(등록금 범위 내 지급)","○ 국내  학교에 재학 중인 자자","○ 장학생 선발 공고일 현재 본인 또는 보호자가 예천군에 1년 이상 주소를 두고 실거주하고 있어야 함","※ 기관확인 필요","○ 24명","○ 국가 기관이나 지방자치단체·학교 기업 기타 장학 관련 단체로부터 장학금을 받은 대학생 중 당해 연도 1학기 등록금 범위 초과 장학금 수혜자 등○ 등록금 전액 면제 학생○ 등록금 실납부액이 10만원 미만인 학생※ 자세한 사항은 첨부파일 참고","○ 학교장(총장) 추천","○ 장학금 지원신청서○ 장학금 추천서○ 재학증명서○ 성적증명서○ 주민등록등본○ 주민등록 초본○ 서약서○ 개인정보 수집 및 이용 동의서※ 자세한 사항은 첨부파일 참조","https://www.ycg.kr/","2025-04-21","2025-04-30"
"1189 ","예천군민장학회","꿈나래","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전 2개 학기 평점 4.5 만점 기준 각각 2.5 이상","○ 가형 : 가정형편이 어려운 자 (국민기초생활수급자·차상위계층·한부모가정·조손가정·다문화가정)○ 나형 : 다자녀가구(셋째이상) 자녀","○ 200만원","○ 국내 대학교 재학생으로 학업성적이 우수하고 품행이 바른 사람○ 가정형편이 어려운 자 또는 다자녀가구 자녀로서 셋째이상인 자","○ 장학생 선발 공고일 현재 본인 또는 보호자가 예천군에 1년 이상 주소를 두고 실거주하고 있는 자","※ 기관확인 필요","○ 가형 4명○ 나형 8명","○ 국가 기관이나 지방자치단체·학교·기업·기타 장학 관련 단체로부터 장학금을 받은 대학생 중 당해 연도 1학기 등록금 범위 초과 장학금 수혜자 등○ 등록금 전액 면제 학생○ 등록금 실납부액이 10만원 미만인 학생※ 꿈나래 가형의 경우 등록금 초과 생활비 명목 장학금 지급 가능※ 자세한 사항은 첨부파일 참고","○ 학교장 추천","○ 장학금 지원신청서○ 장학생 추천서○ 재학증명서○ 성적증명서○ 주민등록등본○ 주민등록초본○ 서약서○ 개인정보 수집 및 이용 동의서○ 저소득관련 증명서(저소득층 해당자)○ 부 또는 모 가족관계증명서(다자녀 해당자)※ 자세한 사항은 첨부파일 참조","https://www.ycg.kr/","2025-04-21","2025-04-30"
"1190 ","예천군민장학회","성적우수(경북도립대학)","지자체(출자출연기관)","장학금","지역연고","특정대학","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전 2개 학기 성적 평점이 4.5점 만점 기준 각각 3.5점 이상인 자","해당없음","○ 200만원","○ 국립경국대학교 예천캠퍼스에 재학중인 자","○ 장학생 선발 공고일 현재 본인 또는 보호자가 예천군에 1년 이상 주소를 두고 실거주하고 있는 자","※ 기관확인 필요","○ 2명","○ 국가 기관이나 지방자치단체·학교 기업 기타 장학 관련 단체로부터 장학금을 받은 대학생 중 당해 연도 1학기 등록금 범위 초과 장학금 수혜자 등○ 등록금 전액 면제 학생○ 등록금 실납부액이 10만원 미만인 학생※ 자세한 사항은 첨부파일 참고","○ 학교장 추천","○ 장학금 지원신청서○ 장학금 추천서○ 재학증명서○ 성적증명서○ 주민등록등본○ 주민등록 초본○ 서약서○ 개인정보 수집 및 이용 동의서※ 자세한 사항은 첨부파일 참조","https://www.ycg.kr/","2025-04-20","2025-04-30"
"1191 ","예천군민장학회","특기소유","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 200만원","○ 대학교(2년제 이상)에 재학중인 특기소유 학생으로 애향심이 투철하고 예천군의 명예를 위하여 공인된 예·체능(미술/음악/체육/기타 기능) 도 단위 1위 또는 전국대회에서 3위 이상 입상한 자 중 해당대학 총장추천을 받은 자○ 2022.7.1.~ 2022.6.30. 까지의 실적 제출","○ 신청일 현재 본인 또는 보호자가 예천군에 1년 이상 주소를 두고 실거주하고 있어야 하며 학생은 국내학교에 재학 중인 자","○ 신청서에 한하여 심사위원회의 심의를 거쳐 이사회에서 선발○ 서류검토(1차)○ 심의(2차)","○ 1명","○ 1인당 1종류의 장학금 추천가능○ 국가 또는 지방자치단체·공공단체 및 민간단체로부터 장학금을 받은 대학생 중 당해 연도 1학기 등록금 범위 초과 장학금 수혜자○ 등록금 4년간 전액 면제 학생○ 등록금 성격의 장학금 신청자로서 등록금 실납부액이 10만원 미만인 학생※ 자세한 사항은 첨부파일 참고","○ 해당대학 총장","○ 장학금 지원신청서○ 장학생 추천서○ 재학증명서○ 주민등록 등본○ 주민등록 초본○ 서약서○ 개인정보 수집 및 이용 동의서○ 특기생 수상실적 증빙자료","https://www.ycg.kr/open.content/scholarship/","2023-08-16","2023-08-25"
"1192 ","예천군민장학회","성적우수(전문대학)","지자체(출자출연기관)","장학금","지역연고","전문대(2~3년제)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전 2개 학기 성적 평점이 4.5점 만점 기준 각각 3.5 이상인 자","해당없음","○ 200만원","○ 전문대학(2년제 이상)에 재학중인 자","○ 장학생 선발 공고일 현재 본인 또는 보호자가 예천군에 1년 이상 주소를 두고 실거주하고 있는 자","※ 기관확인 필요","○ 2명","○ 국가 기관이나 지방자치단체·학교·기업·기타 장학 관련 단체로부터 장학금을 받은 대학생 중 당해 연도 1학기 등록금 범위 초과 장학금 수혜자 등○ 등록금 전액 면제 학생○ 등록금 실납부액이 10만원 미만인 학생※ 자세한 사항은 첨부파일 참고","○ 총장 추천","○ 장학금 지원신청서○ 장학생 추천서○ 재학증명서○ 성적증명서○ 주민등록등본○ 주민등록초본○ 서약서○ 개인정보 수집 및 이용 동의서※ 자세한 사항은 첨부파일 참조","https://www.ycg.kr/","2025-04-21","2025-04-30"
"1193 ","(재)제주평생교육장학진흥원","성취장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 신입생  고등학교 3학년 1학기 이수 과목 중 2개 과목 합산이 6등급 이내  수능점수(국·수·영/ 탐구) 2개 과목 합산이 6등급 이내○ 재학생   직전 학년도 이수한 전 과목 성적이 B+학점 이상으로 학사학위과정 중에 있는 자(계절학기 포함)○ 대학원생  (석사 과정 신입생)직전 학년도 이수한 전 과목 성적이 B+ 이상으로 연구실적을 보유한 자  (재학생)연구실적이 우수한 자","해당없음","○ 최대 200만원","○ 국내 또는 국외에 소재하는 학교(비학위과정 제외)에 재학중인 학생(만 39세 이하)","○ 학생과 그 보호자가 제주특별자치도내 공고일까지 총 5년 이상 주민등록이 되어 있었고 공고일 기준 학생 또는 보호자가 도내 주민등록이 되어 있는 자","※ 기관확인 필요","○ 90명 내외","○ 공고일 1년 이내 정학 이상의 징계 처분을 받았거나 휴학 등의 사유로 1학기 이상 학업을 계속하지 아니한 자 (군복무 제외)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당 대학(원) 학과장 이상의 추천(해당 학과 문의)","○ 제주인재육성장학금 신청서○ 장학생 추천서○ 개인정보 수집·이용·제3자 제공 동의서○ 학생 주민등록표 초본○ 부 또는 모(보호자) 주민등록표 초본○ 재학증명서○ 2025년도 1학기 등록금 납부 영수증○ 성적증명서○ 통장사본○ 가족관계증명서○ (해당자) 기타 증명서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://jiles.or.kr/index.htm","2025-06-02","2025-06-20"
"1194 ","(재)제주평생교육장학진흥원","희망장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/박사과정/석사2학기이상/석사신입생(1학기)/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","○ 기초생활수급자/차상위 계층의 자녀○ 한부모·조손가정/ 다문화가정 등 저소득가정의 자녀 및 보호자의 실직·파산·질병 등 기타 경제적 어려움으로 학업유지가 곤란한 자○ 방송통신고교 및 대학교/평생교육시설 재학생으로 저소득 가정의 자녀","○ 200만원","○ 국내 대학생 (만 39세 이하)","○ 학생과 그 보호자가 제주특별자치도내 공고일까지 총 5년 이상 주민등록이 되어 있었고 공고일 기준 학생 또는 보호자가 도내 주민등록이 되어 있는 자","○ 생활수준 해당자 중 다자녀 > 성적순 > 생활 수준(기초생활수급자>차상위계층)","○ 30명","○ 공고일 1년 이내 정학 이상의 징계 처분을 받았거나 휴학 등의 사유로 1학기 이상 학업을 계속하지 아니한 자 (군복무 제외)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 해당 대학 학과장 이상 추천(해당 학과 문의)","○ 제주인재육성장학금 신청서○ 장학생 추천서○ 개인정보 수집·이용·제3자 제공 동의서○ 학생 주민등록표초본○ 부 또는 모(보호자) 주민등록표초본○ 재학증명서○ 성적증명서○ 가족관계증명서○ 통장사본○ 기타 증명서류※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://jiles.or.kr/index.htm","2025-06-02","2025-06-20"
"1195 ","재단법인 안동시장학회","성적우수장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 성적 (직전2개 학기)이 평점 만점 4.5를 기준으로 3.8 이상인 자","해당없음","○ 최대 200만원","○ 국내 대학(4년제 이상)에 재학생","○ 공고일 현재 보호자가 안동시에 1년 이상 주소를 두고 있고 국내 학교의 재학생으로서 분야별 자격조건을 갖춘 자○ 관내 고등학교 졸업자","※ 기관확인 필요","○ 50명","○ 외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생○ 등록금 4년간 전액 면제자○ 공고일 현재 휴학 중인 자○ 등록금이 연간 100만원 미만인 자○ 당해 연도 1세대 2인 신청 시 그 중 1명○ 부모가 대학 재학 중인 자로 자신의 장학금 신청자○ 안동시장학회로부터 동일학교에서 동일분야로 장학금을 수령한 자○ 보호자가 안동시 관외로 거주지를 이전한 경우(진학·지역대학육성 장학생 제외)","○ 해당 대학교 총장 추천","○ 장학금 지원신청서○ 개인정보 동의서○ 추천서○ 장학금 지급신청서○ 서약서○ 장학금 수혜(비수혜)확인서○ 재학증명서 또는 합격통지서○ 교육비(등록금) 납입증명서○ 보호자의 주민등록등본○ 성적증명서○ 고교 졸업증명서 또는 졸업장 사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ascholarship.or.kr","2025-03-17","2025-04-04"
"1196 ","재단법인 안동시장학회","진학장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 수능성적 우수자 : 수능 4개 영역 백분위 점수 평균 80점 이상○ 내신성적 우수자 : 3개 학기 단위수 합의 평균 80점 이상※ 자세한 사항은 첨부파일 참고","○ 부.모의 전년도 건강보험료 6개월 평균 납부액으로 소득수준 산정","○ 최대 200만원","해당없음","○ 공고일 현재 보호자가 안동시에 1년 이상 주소를 두고 있고 관내 고등학교를 졸업한 자","○ 성적 70 소득 30","○ 30명","○ 외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생○ 등록금 4년간 전액 면제자○ 공고일 현재 휴학 중인 자○ 등록금이 연간 100만원 미만인 자○ 당해 연도 1세대 2인 신청 시 그 중 1명○ 부모가 대학 재학 중인 자로 자신의 장학금 신청자○ 안동시장학회로부터 동일학교에서 동일분야로 장학금을 수령한 자○ 보호자가 안동시 관외로 거주지를 이전한 경우(진학·지역대학육성 장학생 제외)","○ 출신 고등학교 학교장","○ 장학금 지원신청서○ 개인정보 동의서○ 추천서○ 장학금 지급신청서○ 서약서○ 장학금 수혜(비수혜)확인서○ 재학증명서 또는 합격통지서○ 교육비(등록금) 납입증명서○ 보호자의 주민등록등본○ 대학 진학장학생 추천서○ 성적증명서 (수능성적표 또는 생활기록부 사본)○ 부·모의 전년도 건강보험료 납부증명서 각 1부※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ascholarship.or.kr","2025-03-17","2025-04-04"
"1197 ","재단법인 안동시장학회","특별장학생","지자체(출자출연기관)","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 신입생 : 고3 성적 5등급 이내에 해당되는 자○ 재학생 : 직전학기 2개 성적이 평점 만점 4.5점 기준으로 3.0이상","○ 국민기초생활보장수급자·차상위계층·다문화가족·한부모가정·조손가정","○ 최대 200만원","○ 가정 형편이 어려운 학생","○ 공고일 현재 보호자가 안동시에 1년 이상 주소를 두고 있고 관내 고등학교를 졸업한 자","※ 기관확인 필요","○ 11명※ 학교별 배정인원 첨부파일 참고","○ 외국 소재 학교 또는 외국 학교의 국내 분교에 재학하는 학생○ 등록금 4년간 전액 면제자○ 공고일 현재 휴학 중인 자○ 등록금이 연간 100만원 미만인 자○ 당해 연도 1세대 2인 신청 시 그 중 1명○ 부모가 대학 재학 중인 자로 자신의 장학금 신청자○ 안동시장학회로부터 동일학교에서 동일분야로 장학금을 수령한 자. 단 1회 최대 지급액에 부족할 경우 예외○ 보호자가 안동시 관외로 거주지를 이전한 경우(진학·지역대학육성 장학생 제외): 지급정지","○ 해당 대학교 총장 추천","○ 장학금 지원신청서○ 개인정보 동의서○ 장학금 지급신청서○ 서약서○ 장학금 수혜(비수혜)확인서○ 재학증명서 또는 합격통지서○ 교육비(등록금) 납입증명서○ 보호자의 주민등록등본○ 특별장학생 추천서○ 성적증명서○ 국민기초생활보장수급자 또는 차상위계층 증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ascholarship.or.kr","2025-03-17","2025-04-04"
